name;rut ;apellido_1;apellido_2;birthday;ranking;money;phone_number;area_id;email;password;admin;confirmation;gender
Nichole;21161308;Stephenson;Vance;1980-11-22;3;$26212.79;1-347-305-6683;0;adipiscing.enim.mi@Quisqueliberolacus.co.uk;password;0;1;MALE
Darrel;49827757;Gamble;Jenkins;1990-5-24;5;$06335.06;1-364-212-1222;1;convallis.erat@Donec.co.uk;password;0;1;OTHER
Belle;36568626;Summers;Bailey;1984-6-20;4;$11896.62;1-403-260-8194;2;et.magna.Praesent@Proin.org;password;0;1;MALE
Judah;36169129;Martin;Waller;1992-9-2;1;$83386.40;1-801-670-5640;3;quis.diam.luctus@facilisiSedneque.org;password;0;1;OTHER
Naomi;26464854;Rodgers;Jacobs;1990-10-6;4;$00419.74;1-448-803-2204;4;sem.consequat@dolor.net;password;0;1;MALE
Candace;5837408;Hall;Walton;1995-1-1;1;$45766.31;1-802-408-3355;5;Nam.ac.nulla@inaliquetlobortis.edu;password;0;1;MALE
Addison;9778864;Henderson;Hill;1992-8-6;5;$88450.40;1-690-260-7453;6;amet.consectetuer@tristique.org;password;0;1;MALE
Phelan;30964807;Michael;Harding;2000-4-1;0;$16807.97;1-770-617-0864;7;Donec.tempor@nisl.co.uk;password;0;1;OTHER
Isadora;24424304;Davenport;Burt;1983-10-1;2;$29966.28;1-634-259-9717;8;sit.amet.risus@utipsumac.ca;password;0;1;MALE
Blossom;12527149;Paul;Martinez;1983-12-19;0;$90196.75;1-751-790-0288;9;In@erat.net;password;0;1;FEMALE
Nelle;22190047;Willis;Dyer;2000-12-11;2;$36398.18;1-520-492-6481;10;Sed@posuere.co.uk;password;0;1;OTHER
Wallace;35691310;Rivera;Kaufman;1986-3-22;1;$04233.97;1-729-537-9102;11;iaculis.quis@ipsumprimisin.co.uk;password;0;1;MALE
Ivor;17798087;Benton;Spears;1983-7-22;0;$65471.57;1-267-629-3213;12;Cras@sapienimperdietornare.org;password;0;1;OTHER
Rylee;31362524;Soto;Stevenson;1996-6-17;5;$22295.80;1-933-616-8157;13;non.luctus.sit@necmollis.org;password;0;1;MALE
Ezra;15544695;Potts;Mullen;1995-12-22;1;$51991.67;1-190-116-2035;14;feugiat@nonlaciniaat.com;password;0;1;OTHER
Callum;32939587;Oneill;Cain;1985-8-13;4;$68057.83;1-398-315-1616;15;justo.nec@Etiam.ca;password;0;1;MALE
Shellie;47524655;Wheeler;Floyd;1991-11-12;5;$76818.68;1-495-747-4533;16;pretium.neque@commodo.edu;password;0;1;MALE
Victor;33730397;Sykes;Fleming;1995-10-24;5;$99967.18;1-429-313-7478;17;orci.luctus@rhoncusidmollis.co.uk;password;0;1;OTHER
Althea;38010315;Cochran;Suarez;1981-9-20;3;$49591.89;1-428-541-1894;18;elementum@tempusmauris.edu;password;0;1;FEMALE
Regan;46744950;Workman;Serrano;1990-9-20;3;$64445.75;1-546-745-6612;19;iaculis.odio.Nam@rutrummagna.co.uk;password;0;1;MALE
Adrienne;20821562;Oneal;Thompson;1991-1-14;2;$47389.46;1-676-653-0934;20;magnis.dis@estac.com;password;0;1;MALE
Shea;18333600;Colon;Todd;1992-8-8;3;$86811.95;1-476-632-1715;21;neque.In@quamquis.net;password;0;1;OTHER
